id;nom_boissons;image_path;prix;remise_perc;remice_val
1;reboot system partnerships;Auto Ergonomic Keyboard;90782;43889;46103
2;Cambridgeshire;Pastourelle Toys;20005;95788;34574
3;a La e-services;initiative transmitting even-keeled;33131;16530;33555
4;Rial value-added program;asynchronous primary Wooden;92888;5893;56990
5;Afghani;black;88293;5645;61197
6;evolve Hat mobile;Soft;1229;10936;10595
7;Account Awesome a;indigo;64377;59745;63687
8;a Limousin;bypassing;54784;95426;91202
9;Monsieur-le-Prince Quetzal Concrete;haptic Champagne-Ardenne;54407;74927;11311
10;Dalasi la Account;cross-platform JSON compress;64783;14171;27522
