id;id_dessert;nom_dessert;image_path;prix;remise_perc;remice_val
1;Alsace functionalities;Towels compelling;JSON Executif;31289;91532;87754
2;b calculate;generating cutting-edge high-level;Home a Île-de-France;23908;89021;36808
3;Generic Sports wireless;multi-byte calculating centrafricaine;Avon asymmetric Mouse;59124;41175;89896
4;niches Avon;driver didactic;Intelligent empower;52586;10118;34716
5;Concrete;payment quantifying;forecast calculate;2239;73160;18380
6;bypassing a Optional;a hacking Agent;Metal Berkshire;66739;37685;81713
7;Cheese Incredible Nuevo;reboot Ergonomic;Exclusive;64530;84140;97846
8;Chair Roumanie;Basse-Normandie;Toys Superviseur;94574;64267;99500
9;Up-sized Steel extensible;Developpeur;De-engineered Gorgeous;50411;44796;14622
10;out-of-the-box;payment Checking;Namibia connecting;79214;94253;17331
