id;nom_food;image_path;prix;remise_perc;remice_val
1;Bacon Bedfordshire;input pixel;48616;47899;29404
2;Analyste Languedoc-Roussillon Games;Bonaparte violet Leone;67326;93589;42721
3;open portals web-enabled;Cotton aggregate;47076;83102;61225
4;Oberkampf Zadkine whiteboard;Cotton Chine;10318;68084;69991
5;b;yellow;30970;38575;9173
6;copy;AI salmon online;94246;86322;17912
7;Object-based programming pink;bus Vatu;47455;44118;75781
8;Account;Pizza;45787;69460;91313
9;static Monitored Account;Toys driver;92328;11429;68652
10;Investment;Chair Table;62189;66513;34687
