id;nom_plat;image_path;prix;remise_perc;remice_val
1;recontextualize;copy;36812;70879;14756
2;Table Kiribati c;driver invoice Analyste;95984;64636;14922
3;Rubber monitor Coordinateur;tan;4975;19225;47571
4;Mouse open-source cohesive;Handcrafted a;49624;13635;18772
5;Cheese;Franche-Comté a application;68277;61141;51403
6;a;FTP Centralized;19171;55812;86957
7;Toys evolve enable;web-readiness incubate;93642;28311;92750
8;application paradigm Qatari;database indexing COM;7621;53462;30505
9;Public-key fuchsia Fish;Loan Ergonomic Rustic;80359;15294;15683
10;digital grey;parsing;29063;10581;61346
